x,y,z,z_ft,magnitude,lon,lat,year,month,day
638353.9076760795,3640173.2492891015,-7003.447512,-22977.19,0.0,-115.52083000078161,32.89099999877193,1981.0,3.0,13.0
632908.6185485511,3656510.6701955358,-2503.2279120000003,-8212.69,1.5,-115.5766699994017,33.0390000008518,1981.0,3.0,14.0
638176.9852822912,3641649.00395749,-10733.629536,-35215.32,1.57,-115.52250000145376,32.904329999761394,1981.0,3.0,14.0
632494.6453975863,3664120.267791247,-2043.2054640000001,-6703.43,1.18,-115.58000000071604,33.10767000029194,1981.0,3.0,17.0
630514.8506693519,3665608.491354804,-8393.515344,-27537.78,1.76,-115.60100000021966,33.12132999948727,1981.0,3.0,18.0
630514.0185873441,3664481.783802118,-4273.3142880000005,-14020.06,1.34,-115.6011699997093,33.11117000007359,1981.0,3.0,19.0
625573.3304153673,3633589.6507180575,-8343.512904000001,-27373.73,1.83,-115.65832999925816,32.8331699990951,1981.0,3.0,22.0
646812.4191130699,3625010.32935354,-15553.864752,-51029.74,1.52,-115.43283000119456,32.75316999960368,1981.0,3.0,23.0
647271.549009494,3625644.816567061,-12913.735920000001,-42367.9,2.44,-115.4278299986514,32.75882999872952,1981.0,3.0,28.0
646964.301285842,3631573.30288232,-3593.281104,-11788.98,2.28,-115.43017000021071,32.812330000810846,1981.0,3.0,31.0
646698.7723013103,3628446.472234516,-4433.322096000001,-14545.02,1.61,-115.43350000055821,32.78417000018548,1981.0,3.0,31.0
624255.0338717895,3679106.972539639,-3088.2564600000005,-10132.075,1.68,-115.66624000072476,33.24378999941341,1981.0,4.0,1.0
635213.2934009442,3647245.7887655753,-8597.5252992,-28207.104,2.32,-115.5533599994661,32.955170000694885,1981.0,4.0,1.0
632368.5489565548,3658462.8834980736,-7913.49192,-25962.9,1.4,-115.58217000100481,33.05667000016393,1981.0,4.0,2.0
635536.73278996,3677795.8432294424,-4680.3341496,-15355.427,1.07,-115.54536999859704,33.23061000100866,1981.0,4.0,5.0
635576.5198323495,3677414.9006331237,-5003.349912,-16415.19,1.6,-115.54499999919149,33.22716999937298,1981.0,4.0,5.0
635849.5298769893,3677688.1918835463,-4630.3317096,-15191.377,1.6,-115.54202999888398,33.229600000834786,1981.0,4.0,6.0
636634.4585027709,3677810.0717869434,-6223.409447999999,-20418.01,1.6,-115.53359000129768,33.23059999909898,1981.0,4.0,6.0
636629.7357220675,3677880.982073479,-6287.4125712,-20627.994,0.99,-115.53363000036799,33.231240000231615,1981.0,4.0,6.0
636639.1784881693,3677872.242408797,-6297.4130592,-20660.804,1.6,-115.53353000088774,33.23115999946577,1981.0,4.0,6.0
636526.0784043947,3675766.8752984763,-5153.357232,-16907.34,1.6,-115.53505999918947,33.21218999874828,1981.0,4.0,6.0
636515.7013921842,3675709.061853485,-5180.3585496000005,-16995.927,2.34,-115.53518000045598,33.211669999005565,1981.0,4.0,6.0
636556.1212034139,3675751.770239591,-5094.3543528,-16713.761,1.58,-115.53473999840588,33.21204999963986,1981.0,4.0,6.0
636578.5521718706,3675747.6486037904,-5023.350888000001,-16480.81,1.55,-115.53449999996934,33.212010000309625,1981.0,4.0,6.0
636672.0573671181,3677853.850781929,-6259.411204800001,-20536.126,1.07,-115.53318000030596,33.23099000089633,1981.0,4.0,6.0
595820.5326741076,3680037.4428998013,-6812.438191200001,-22350.519,1.92,-115.97130999840041,33.25507999912974,1981.0,4.0,7.0
637146.3582217742,3657381.8713357016,-6263.4114,-20549.25,1.4,-115.53116999911953,33.0463299986766,1981.0,4.0,7.0
623239.8079707337,3685978.4086643755,-8047.4984592,-26402.554,1.7,-115.67620000084322,33.305870001086916,1981.0,4.0,12.0
647585.4790297054,3624950.827661922,-9598.574148,-31491.385,1.6,-115.42458999958963,32.7525299995826,1981.0,4.0,16.0
592394.4375667456,3658606.7749801558,-6182.407447200001,-20283.489,2.01,-116.01026000089432,33.062099999848115,1981.0,4.0,17.0
647369.7400365982,3625973.4240577887,-9813.584640000001,-32196.8,1.81,-115.4267299998245,32.76178000110438,1981.0,4.0,18.0
647353.8849766038,3625842.3289103014,-10114.5993288,-33184.381,1.97,-115.42691999956705,32.7606000000997,1981.0,4.0,18.0
647295.7013613384,3625911.3299153345,-10155.601329600002,-33318.902,1.5,-115.42752999896746,32.761229999198314,1981.0,4.0,18.0
596722.314146499,3678726.8586868425,-4979.3487408,-16336.446,1.5,-115.96176999892633,33.2431799988076,1981.0,4.0,20.0
632356.0474867838,3648436.7588418717,-8502.5206632,-27895.409,2.08,-115.58374999907197,32.966259998779535,1981.0,4.0,20.0
647723.8668179382,3625348.793171215,-10380.612309600001,-34057.127,1.6,-115.42305000025443,32.756099999489464,1981.0,4.0,20.0
647675.554072957,3625446.772950362,-10436.6150424,-34240.863,1.93,-115.42354999952354,32.75699000113138,1981.0,4.0,20.0
648119.2543074177,3624788.0013306797,-10366.611626400001,-34011.193,1.43,-115.41892000072603,32.750989999555514,1981.0,4.0,20.0
628299.001605256,3662874.466397203,-7983.495336,-26192.57,1.3,-115.625130001121,33.09693999968175,1981.0,4.0,20.0
628277.2609503795,3662895.2515054015,-7877.4901632,-25844.784,1.91,-115.62536000091697,33.097130001315364,1981.0,4.0,20.0
628266.1817611766,3662957.2068340788,-7928.492652000001,-26012.115,0.9,-115.62547000067767,33.09769000083722,1981.0,4.0,20.0
628212.1835813089,3662661.5217540907,-7858.489236,-25782.445,1.5,-115.62609000046304,33.09502999901732,1981.0,4.0,20.0
628296.0600145593,3662956.4892112175,-8004.496360800001,-26261.471,1.2,-115.62514999915402,33.09767999887799,1981.0,4.0,20.0
628282.6135721385,3662914.1733948993,-7972.4947992,-26156.479,1.79,-115.62529999919865,33.097299999467445,1981.0,4.0,20.0
628217.5702380653,3663034.1956660342,-7905.4915296,-25936.652,2.0,-115.62597999941947,33.098390000602265,1981.0,4.0,20.0
628191.3526038843,3663040.5057500214,-8007.4965071999995,-26271.314,1.1,-115.62626000048836,33.098449998992606,1981.0,4.0,20.0
628198.1319501551,3663021.742684251,-8094.5007528,-26556.761,1.1,-115.62619000153639,33.09827999992856,1981.0,4.0,20.0
646999.3334459671,3627003.709900672,-9028.546332,-29621.215,0.75,-115.43052000125458,32.7711199998441,1981.0,4.0,20.0
646913.7150503512,3627154.370298252,-9035.5466736,-29644.182,2.22,-115.43140999838931,32.77248999916123,1981.0,4.0,20.0
648251.9300877226,3624563.75143629,-10535.6198736,-34565.682,1.5,-115.41753999925764,32.748950000989986,1981.0,4.0,20.0
648347.8466585954,3624541.896693093,-10790.6323176,-35402.337,1.6,-115.41651999865364,32.74874000062468,1981.0,4.0,21.0
